Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
2285,Entry short,2025-10-21 07:00,Short,4337.7,22,95429.4,-1100,-0.12,176,0.02,-1386,-0.15,-14209,-1.42
2286,Exit short,2025-10-21 08:40,Short Exit,4317.2,22,94982.8,-44,0.00,1870,0.20,-880,-0.09,-14253,-1.43
2286,Entry short,2025-10-21 08:30,Short,4317.4,22,94982.8,-44,0.00,1870,0.20,-880,-0.09,-14253,-1.43
2287,Exit short,2025-10-21 09:35,Short Exit,4281.3,22,94320.6,1232,0.13,6556,0.70,-2112,-0.22,-13021,-1.30
2287,Entry short,2025-10-21 09:00,Short,4287.3,22,94320.6,1232,0.13,6556,0.70,-2112,-0.22,-13021,-1.30
2288,Exit short,2025-10-21 12:40,Short Exit,4275.9,23,98299.7,-552,-0.06,644,0.07,-1656,-0.17,-13573,-1.36
2288,Entry short,2025-10-21 12:15,Short,4273.9,23,98299.7,-552,-0.06,644,0.07,-1656,-0.17,-13573,-1.36
2289,Exit short,2025-10-21 13:25,Short Exit,4243.7,23,97464.8,-1495,-0.15,1334,0.14,-2093,-0.21,-15068,-1.51
2289,Entry short,2025-10-21 13:10,Short,4237.6,23,97464.8,-1495,-0.15,1334,0.14,-2093,-0.21,-15068,-1.51
2290,Exit short,2025-10-21 14:10,Short Exit,4215.5,23,97308.4,3427,0.35,6118,0.63,-1909,-0.20,-11641,-1.16
2290,Entry short,2025-10-21 13:30,Short,4230.8,23,97308.4,3427,0.35,6118,0.63,-1909,-0.20,-11641,-1.16
2291,Exit short,2025-10-21 15:00,Short Exit,4188.8,23,96533.3,1817,0.19,4094,0.42,-69,-0.01,-9824,-0.98
2291,Entry short,2025-10-21 14:45,Short,4197.1,23,96533.3,1817,0.19,4094,0.42,-69,-0.01,-9824,-0.98
2292,Exit short,2025-10-21 15:50,Short Exit,4131.6,23,95820.3,7843,0.82,16928,1.77,-1311,-0.14,-1981,-0.20
2292,Entry short,2025-10-21 15:20,Short,4166.1,23,95820.3,7843,0.82,16928,1.77,-1311,-0.14,-1981,-0.20
2293,Exit short,2025-10-21 23:20,Short Exit,4137.5,24,99100.8,-2088,-0.21,552,0.06,-2040,-0.21,-4069,-0.41
2293,Entry short,2025-10-21 23:05,Short,4129.2,24,99100.8,-2088,-0.21,552,0.06,-2040,-0.21,-4069,-0.41
2294,Exit short,2025-10-22 01:15,Short Exit,4074.6,24,98964,11640,1.18,24552,2.48,-264,-0.03,7571,0.76
2294,Entry short,2025-10-22 00:45,Short,4123.5,24,98964,11640,1.18,24552,2.48,-264,-0.03,7571,0.76
2295,Exit short,2025-10-22 01:30,Short Exit,4068.4,24,97646.4,-48,0.00,3288,0.34,-648,-0.07,7523,0.75
2295,Entry short,2025-10-22 01:20,Short,4068.6,24,97646.4,-48,0.00,3288,0.34,-648,-0.07,7523,0.75
2296,Exit short,2025-10-22 05:15,Short Exit,4143.9,24,99316.8,-1464,-0.15,312,0.03,-1680,-0.17,6059,0.61
2296,Entry short,2025-10-22 05:10,Short,4138.2,24,99316.8,-1464,-0.15,312,0.03,-1680,-0.17,6059,0.61
