Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
33,Exit long,2025-04-07 04:45,Long Exit,3040,2,6137.6,-584,-0.95,266,0.43,-580,-0.94,-746,-0.07
33,Entry long,2025-04-07 02:35,Long,3068.8,2,6137.6,-584,-0.95,266,0.43,-580,-0.94,-746,-0.07
34,Exit short,2025-04-07 23:00,EOD Close 21:00 UTC,2998.1,2,6069.6,726,1.20,1280,2.11,-596,-0.98,-20,0.00
34,Entry short,2025-04-07 04:45,Short,3034.8,2,6069.6,726,1.20,1280,2.11,-596,-0.98,-20,0.00
35,Exit long,2025-04-09 05:55,Long Exit,3029.6,2,6019,394,0.65,398,0.66,-6,-0.01,374,0.04
35,Entry long,2025-04-09 02:30,Long,3009.5,2,6019,394,0.65,398,0.66,-6,-0.01,374,0.04
36,Exit long,2025-04-09 08:00,Long Exit,3059.6,2,6066.4,520,0.86,524,0.86,-82,-0.14,894,0.09
36,Entry long,2025-04-09 06:10,Long,3033.2,2,6066.4,520,0.86,524,0.86,-82,-0.14,894,0.09
37,Exit long,2025-04-09 08:15,Long Exit,3059.5,2,6127.4,-92,-0.15,22,0.04,-106,-0.17,802,0.08
37,Entry long,2025-04-09 08:10,Long,3063.7,2,6127.4,-92,-0.15,22,0.04,-106,-0.17,802,0.08
38,Exit long,2025-04-09 12:35,Long Exit,3085.7,2,6124,466,0.76,470,0.77,-54,-0.09,1268,0.13
38,Entry long,2025-04-09 12:00,Long,3062,2,6124,466,0.76,470,0.77,-54,-0.09,1268,0.13
39,Exit long,2025-04-09 19:10,Long Exit,3067,2,6169,-358,-0.58,172,0.28,-354,-0.57,910,0.09
39,Entry long,2025-04-09 18:30,Long,3084.5,2,6169,-358,-0.58,172,0.28,-354,-0.57,910,0.09
40,Exit long,2025-04-09 23:35,EOD Close 21:00 UTC,3098.6,2,6200.8,-44,-0.07,64,0.10,-80,-0.13,866,0.09
40,Entry long,2025-04-09 23:30,Long,3100.4,2,6200.8,-44,-0.07,64,0.10,-80,-0.13,866,0.09
41,Exit long,2025-04-10 16:00,Long Exit,3175.7,2,6257.8,928,1.48,932,1.49,-192,-0.31,1794,0.18
41,Entry long,2025-04-10 03:05,Long,3128.9,2,6257.8,928,1.48,932,1.49,-192,-0.31,1794,0.18
42,Exit long,2025-04-10 23:35,EOD Close 21:00 UTC,3205,2,6406,32,0.05,66,0.10,-24,-0.04,1826,0.18
42,Entry long,2025-04-10 23:30,Long,3203,2,6406,32,0.05,66,0.10,-24,-0.04,1826,0.18
43,Exit long,2025-04-11 01:50,Long Exit,3226.2,2,6464.2,-126,-0.19,58,0.09,-122,-0.19,1700,0.17
43,Entry long,2025-04-11 01:40,Long,3232.1,2,6464.2,-126,-0.19,58,0.09,-122,-0.19,1700,0.17
44,Exit long,2025-04-11 02:15,Long Exit,3225,2,6470.8,-216,-0.33,98,0.15,-212,-0.33,1484,0.15
