Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
79,Entry long,2025-09-12 11:15,Long Entry,3686.6,2,7373.2,-309.3,-0.42,2.27,0.00,-235.73,-0.32,-10089.11,-10.09
80,Exit long,2025-09-14 23:05,EOD Close 21:00 UTC,3682.5,2,7372.8,-225.38,-0.31,52.27,0.07,-217.73,-0.30,-10314.48,-10.31
80,Entry long,2025-09-12 14:10,Long Entry,3686.4,2,7372.8,-225.38,-0.31,52.27,0.07,-217.73,-0.30,-10314.48,-10.31
81,Exit long,2025-09-15 14:35,Long Exit,3697.1,2,7353.6,258.52,0.35,332.46,0.45,-183.54,-0.25,-10055.96,-10.06
81,Entry long,2025-09-15 03:10,Long Entry,3676.8,2,7353.6,258.52,0.35,332.46,0.45,-183.54,-0.25,-10055.96,-10.06
82,Exit short,2025-09-15 23:15,EOD Close 21:00 UTC,3717.4,2,7432.6,-170.67,-0.23,0,0.00,-104.33,-0.14,-10226.64,-10.23
82,Entry short,2025-09-15 23:10,Short Entry,3716.3,2,7432.6,-170.67,-0.23,0,0.00,-104.33,-0.14,-10226.64,-10.23
83,Exit long,2025-09-16 03:35,Long Exit,3715.1,2,7441.8,-264.72,-0.36,81.58,0.11,-190.42,-0.26,-10491.36,-10.49
83,Entry long,2025-09-16 01:20,Long Entry,3720.9,2,7441.8,-264.72,-0.36,81.58,0.11,-190.42,-0.26,-10491.36,-10.49
84,Exit long,2025-09-16 10:50,Long Exit,3736.5,2,7446,120.81,0.16,195.54,0.26,-98.46,-0.13,-10370.55,-10.37
84,Entry long,2025-09-16 07:20,Long Entry,3723,2,7446,120.81,0.16,195.54,0.26,-98.46,-0.13,-10370.55,-10.37
85,Exit short,2025-09-16 12:45,Short Exit,3735.6,2,7459.8,-263.31,-0.35,0,0.00,-188.6,-0.25,-10633.86,-10.63
85,Entry short,2025-09-16 12:20,Short Entry,3729.9,2,7459.8,-263.31,-0.35,0,0.00,-188.6,-0.25,-10633.86,-10.63
86,Exit long,2025-09-16 23:05,EOD Close 21:00 UTC,3728.6,2,7471.6,-293.29,-0.39,5.28,0.01,-490.72,-0.66,-10927.14,-10.93
86,Entry long,2025-09-16 12:50,Long Entry,3735.8,2,7471.6,-293.29,-0.39,5.28,0.01,-490.72,-0.66,-10927.14,-10.93
87,Exit long,2025-09-17 00:15,EOD Close 21:00 UTC,3731.5,2,7463.8,-157.27,-0.21,0,0.00,-86.64,-0.12,-11084.41,-11.08
87,Entry long,2025-09-17 00:10,Long Entry,3731.9,2,7463.8,-157.27,-0.21,0,0.00,-86.64,-0.12,-11084.41,-11.08
88,Exit short,2025-09-17 02:30,Short Exit,3720,2,7457.4,25.03,0.03,99.43,0.13,-100.57,-0.13,-11059.39,-11.06
88,Entry short,2025-09-17 01:55,Short Entry,3728.7,2,7457.4,25.03,0.03,99.43,0.13,-100.57,-0.13,-11059.39,-11.06
89,Exit long,2025-09-17 06:40,Long Exit,3714.6,2,7443.2,-288.72,-0.39,0,0.00,-214.43,-0.29,-11348.11,-11.35
89,Entry long,2025-09-17 06:05,Long Entry,3721.6,2,7443.2,-288.72,-0.39,0,0.00,-214.43,-0.29,-11348.11,-11.35
90,Exit long,2025-09-17 19:00,Long Exit,3725,2,7411.6,235.38,0.32,309.88,0.42,-108.12,-0.15,-11112.73,-11.11
90,Entry long,2025-09-17 13:10,Long Entry,3705.8,2,7411.6,235.38,0.32,309.88,0.42,-108.12,-0.15,-11112.73,-11.11
91,Exit short,2025-09-17 23:05,EOD Close 21:00 UTC,3692.5,2,7416.2,163.99,0.22,491.84,0.66,-196.16,-0.26,-10948.74,-10.95
91,Entry short,2025-09-17 19:35,Short Entry,3708.1,2,7416.2,163.99,0.22,491.84,0.66,-196.16,-0.26,-10948.74,-10.95
92,Exit long,2025-09-18 00:30,EOD Close 21:00 UTC,3704.8,2,7407.4,-126.17,-0.17,0,0.00,-82.07,-0.11,-11074.91,-11.07
92,Entry long,2025-09-18 00:25,Long Entry,3703.7,2,7407.4,-126.17,-0.17,0,0.00,-82.07,-0.11,-11074.91,-11.07
93,Exit short,2025-09-18 07:00,Short Exit,3679.7,2,7392.6,184.48,0.25,258.07,0.35,-215.93,-0.29,-10890.43,-10.89
93,Entry short,2025-09-18 01:25,Short Entry,3696.3,2,7392.6,184.48,0.25,258.07,0.35,-215.93,-0.29,-10890.43,-10.89
94,Exit long,2025-09-18 14:40,Long Exit,3667.9,2,7364.2,-431,-0.58,432.36,0.59,-357.64,-0.49,-11321.43,-11.32
94,Entry long,2025-09-18 08:20,Long Entry,3682.1,2,7364.2,-431,-0.58,432.36,0.59,-357.64,-0.49,-11321.43,-11.32
95,Exit long,2025-09-18 23:05,EOD Close 21:00 UTC,3676.2,2,7359.4,-217.12,-0.29,0,0.00,-149.59,-0.20,-11538.55,-11.54
95,Entry long,2025-09-18 21:00,Long Entry,3679.7,2,7359.4,-217.12,-0.29,0,0.00,-149.59,-0.20,-11538.55,-11.54
96,Exit short,2025-09-18 23:25,EOD Close 21:00 UTC,3675.3,2,7351.2,-141.02,-0.19,0,0.00,-79.51,-0.11,-11679.56,-11.68
